Genus	Basepaws_WGS1	Basepaws_WGS2	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Persicobacter	159	1255	0	0	45	0	0	0	0	0	0	0	0	63	81	30	10	0	0	0	0	0	0	0	0	0	0	0
Microscilla	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides	3438	462181	230735	1106884	3911052	0	18408	10751	6689	6057	8477	2664	152925	7006237	5033083	4105715	2525679	0	30036	19660	19895	3844	75087	12595	37646	11	1901	0
Prevotella	1293	313782	2309	380	9281	0	303	10	13333	19447	9236	12057	82	11860	11873	8501	3899	0	20	31	47	12	146	239	2865	1097	76484	0
Paraprevotella	105	9607	8	172	10559	0	0	0	20	47	14	7	27	12990	11431	11868	6494	0	0	4	0	0	4	2	0	0	0	0
Alloprevotella	69	8056	68	254	556	0	14	4	8	10	6	22	61	911	881	1300	430	0	16	11	21	0	15	3	15	55	9034	0
Porphyromonas	511	2655417	734	135	1268	0	33	0	3	0	2	0	15	1818	2109	1729	917	0	1	6	8	2	115	176	935	2	6	0
Fermentimonas	153	6836	4	13	46	0	0	0	0	0	0	1	2	21	63	18	34	0	0	0	0	0	0	0	0	0	0	0
Petrimonas	93	15756	876	19	1031	0	0	0	0	0	6	4	2	1193	1259	902	382	0	0	0	0	0	0	0	0	0	12	0
Tannerella	278	5374520	11	104	8680	0	1	1	0	0	0	0	7	14300	12926	8151	3022	0	0	0	1	1	0	0	1	5	31	0
Parabacteroides	255	39795	1838	8717	79999	0	0	0	0	0	0	140	1318	116858	158509	90486	35005	0	0	0	0	0	0	0	0	0	0	0
Alistipes	371	33274	8757	124898	924833	0	680	874	42	23	66	24	14445	905754	1189055	2633017	4083611	0	1768	2127	2686	3102	4675	743	4093	0	1	0
Mucinivorans	65	9070	9	158	184	0	0	0	0	0	0	0	22	215	270	243	69	0	0	0	0	0	0	0	0	0	0	0
CandidatusAzobacteroides	220	2108	2	8	15	0	0	0	0	0	0	0	2	13	11	21	22	0	0	0	0	1	0	0	5	0	6	0
Odoribacter	157	10020	982	15052	57750	0	63	86	242	147	486	98	2751	95695	59150	34312	46571	0	146	120	104	62	1147	370	338	0	0	0
Butyricimonas	155	9575	2136	19120	43049	0	107	89	2	2	7	3	2205	56250	39044	52703	54240	0	144	123	115	118	11	3	1031	0	38	0
Muribaculum	189	24739	9	57	3509	0	0	0	4	2	1	1	10	6242	5297	3583	2188	0	1	1	0	0	5	0	1	15	61	0
