Genus	Basepaws_WGS1	Basepaws_WGS2	Bristle1	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Flintibacter	3.18213756718009e-06	0.0029471174923911	0	0.330789879731986	0.318541214657274	0.383997786551015	0	0.206768962890412	0.407932722480231	0.563324275962622	0.572829891985998	0.717166162588214	0.196780866844947	0.299212537546534	0.295701106001393	0.417569009092237	0.46769110709476	0.0717334276865001	1.1020924437346e-05	0.0642927794263106	0.21267673136832	0.226518890057439	0.0650920587688302	0.199214408988718	0.30309833857207	0.474309249630759	0	0	0
Oscillibacter	4.77320635077014e-05	0.00029586446794539	0	1.1849781234808	1.50858867792367	0.244173374053246	0	0.914136467515508	1.85766285929459	0.00165683610577242	0.00187199311106535	0.00458253139034002	0	1.6000525748128	0.243604981710419	0.441069020253424	0.432465241554599	0.199234298627167	0	0.445103857566766	0.880661394680086	1.37529326106302	2.78965966152129	0.508022348886397	0.653906600808262	1.84800489919427	0	0	0.0043382065853976
Christensenella	3.81856508061611e-05	0.0048222065879411	0	0.77016972797024	0.380612972945365	0.0959480825678565	0	0	0	0.00828418052886208	0.00561597933319605	0.0229126569517001	0.00252283162621727	0.283749357311571	0.0212158601899076	0.0417621739109801	0.0496031192583632	0.0625019106213598	2.2041848874692e-05	0	0	0.0134832672653237	0.0185977310768086	0.0174120563126386	0.0140323304894477	0.00840548037320333	0	0.000401780692027064	0
Peptoniphilus	9.8646264582583e-05	0.0041920536951743	0	0.108854177675382	0.00271010195716267	0.000388084083667276	0	0.126963398266043	0.0188276641144722	0.00165683610577242	0.00187199311106535	0.0114563284758501	0	0.00193289752937038	0.000229142073207388	0.000404263467993495	0.000494118475902719	0.000620479015853693	6.61255466240759e-05	0	0.00299544692068057	0.010786613812259	0.0557931932304259	0.0937178325062607	0.356421194431971	3.00195727614405	0	0.00120534207608119	0.0173528263415904
Finegoldia	7.63713016123223e-05	0.00211716002386896	0	0.0819048424256515	0.00119869894259118	0.00093596749590343	0	0.137845975260275	0	0	0.0037439862221307	0	0	0.000773159011748151	0.000512199928345926	0.000404263467993495	0.00145047681635959	0.00231544608355159	0.00027552311093365	0	0	0.00539330690612949	0	0.0532604075445416	0.210484957341715	4.02022118421211	0	0.00281246484418945	0.0043382065853976
Murdochiella	1.27285502687204e-05	0.00272425854251015	0	0.0594470630508761	0.000260586726650257	0.00454286662645811	0.000652117915961564	0.417165451445569	0.0062758880381574	0	0	0	0	0.000386579505874076	0.00408412048128462	0.00358564119437708	0.00380949405615322	0.00423741766924473	0.000826569332800949	0.00494559841740851	0.0089863407620417	0	0	0.0425059021749707	0.151549169286035	0.842949603141248	0	0.00281246484418945	0
Megamonas	6.36427513436019e-05	0.000945229339150208	0.000331112671019695	0.0414808395510558	0.00786971914483775	4.56569510196795e-05	0.000326058957980782	0	0.0188276641144722	21.8834912850421	11.6475411370486	11.3967555677756	11.8144205055755	0.00657185159985928	2.6957890965575e-05	0.033589021188503	0.000860722506411187	0.000272405421594304	0.00011020924437346	0.00247279920870425	0	0.00269665345306475	0.00929886553840431	0.0015363579099387	0	0	0.019952114924182	0.0056249296883789	0.0043382065853976
Veillonella	7.95534391795024e-05	0.000922174965024593	2.62009456577884	0.0052841833823001	0.002032576467872	0.000296770181627917	5.94275056815773	0	0	0	0	0	0	0.0150766007290889	0.000714384110587739	0.000808526935986989	0.00063757222697125	0.000423741766924473	13.297880488875	0	0	0.00269665345306475	0.00929886553840431	0.040969544265032	0.0589357880556803	0.00720469746274571	25.9976057462091	17.2195168988959	1.70057698147586
Dialister	2.22749629702607e-05	0.00788459595096027	0	0.285345902644205	0.0374723712923069	0.000844653593864071	0	0.159611129248739	0.0815865444960462	0	0	0	0	0.695069951561588	0.00494677299218302	0.00372625457454873	0.00191271668091375	0.0031326623483345	0.000154292942122844	0.338773491592483	0.1078360891445	0.137529326106302	0.446345545843407	0.116763201155341	0.712842388863943	0.368640353510489	0	0.00361602622824358	0.0173528263415904
Faecalibaculum	3.18213756718009e-06	0.00220169272899622	0	0.00581260172053011	0.011153111900631	0.00091313902039359	0	0	0.0125517760763148	4.84293193717278	2.74246990771074	4.54128860782696	2.24027448408093	0.00463895407048891	0.000471763091897563	0.00100187033372301	0.000812904589388344	0.000484276305056541	2.2041848874692e-05	0.00247279920870425	0.00299544692068057	0	0.0185977310768086	0.0020484772132516	0	0	0	0.000803561384054128	0
Corynebacterium	0.000903727069079147	0.524202674076855	0.166880786193926	0.0250998710659255	0.000938112215940924	0.00801279490395376	0.0238023039325971	0.0108825769942322	0.0062758880381574	0.00331367221154483	0.0037439862221307	0.00687379708551004	0.00252283162621727	0.000386579505874076	0.00343713109811082	0.00476327825331465	0.00814498519955772	0.00838403353129136	0.906790641780391	0	0	0	0.00464943276920216	0.0440422600849094	0.171194431971262	1.19357821299487	1.52301143921256	0.00321424553621651	0.23426315561147
Cutibacterium	0.00473820283753116	0.0213521928360069	0.0192045349191423	0.000264209169115005	0	0.00118708072651167	0.655052446583391	0	0	0	0.0037439862221307	0.00229126569517001	0	0	0.000593073601242651	0.000597606865729514	0.00160986987310241	0.00127122530077342	0.0108335687219111	0	0	0	0	0.0122908632795096	0.00561293219577908	0.00360234873137286	0.0133014099494546	0.00120534207608119	0.00867641317079519
Rothia	7.63713016123223e-05	0.00756951950457687	14.0954664053084	0.00105683667646002	0.00078176017995077	0.000662025789785353	15.219127922711	0	0	0	0.00187199311106535	0	0	0.000386579505874076	0.00026957890965575	0.000597606865729514	0.00181708084686806	0.00108962168637722	9.30250883630169	0	0	0	0	0.0056333123364419	0	0.00960626328366095	2.90635807395584	3.42236793468653	2.19079432562579
Actinomyces	0.000493231322912915	0.385618988812096	1.26551262863727	0.00475576504407009	0.00171987239589169	0.0037895269346334	2.22241785759701	0	0	0.00165683610577242	0.00561597933319605	0.00229126569517001	0	0.000773159011748151	0.00122658403893366	0.00318137772638359	0.008160924505232	0.00673446736719252	7.09992198287591	0	0	0	0	0.0005121193033129	0	0.0228148752986947	5.02793296089385	0.0670973755685197	0.477202724393736
Schaalia	8.90998518810427e-05	0.0681833114765059	4.86735626398951	0.00052841833823001	5.21173453300513e-05	0.00210021974690526	3.06691055876724	0	0	0	0	0	0	0.000773159011748151	0.000390889419000838	0.0014061338017165	0.00608881476757544	0.00307212781020243	1.58335417206462	0	0	0	0	0.0005121193033129	0	0	0.00665070497472732	0.00883917522459541	0.347056526831808
Bifidobacterium	0.000273663830777488	0.0305969968603785	0.00662225342039389	0.128669865359007	0.0479479577036472	0.0749458850988039	0.00391270749576939	0.126963398266043	0.0376553282289444	3.44456226390085	1.17373968063798	0.513243515718083	6.17084615772743	0.0282203039288075	0.0365953369857681	0.081819410587379	0.0514998966336027	0.232407225523541	0.00992985291804874	0.0321463897131553	0.0119817876827223	0.0485397621551654	0.339408592151758	0.0020484772132516	0	0.00600391455228809	0	0.00160712276810826	0.0260292395123856
Eggerthella	3.5003513238981e-05	0.000999022878776643	0	0.054955507175921	0.0360130856230655	0.15674031285056	0	0.0435303079769289	0.062758880381574	0	0	0.00229126569517001	0	0.0297666219523038	0.0558432711351887	0.107006782310626	0.141875759806777	0.507824240389915	2.2041848874692e-05	0.00989119683481701	0.0149772346034028	0.021573227624518	0.134833550306863	0.119323797671906	0.0701616524472384	0.401061492092845	0	0	0
Adlercreutzia	1.27285502687204e-05	0.00150237671385257	0	0.0494071146245059	0.0276221930249272	0.134870633312133	0.000978176873942346	0.0145101026589763	0.031379440190787	0.0430777387500828	0.0524158071098298	0.0504078452937403	0.0252283162621727	0.0328592579992964	0.046057556714685	0.0931563643637183	0.187876595982753	0.36618855479541	4.4083697749384e-05	0.00741839762611276	0.0089863407620417	0.021573227624518	0.102287520922447	0.145441882140864	0.106645711719802	0.725272877916401	0	0	0.0043382065853976
Collinsella	2.22749629702607e-05	0.00129872974240964	0	0.000264209169115005	0	0.00630065924071577	0	0	0	13.5761150506992	7.59093206537	11.7954357987352	15.5583026388819	0	0.00274970487848865	0.00717128238875416	0.00822468172792912	0.042994655708301	0.000319606808683034	0.00494559841740851	0.00299544692068057	0	0	0.0061454316397548	0	0	0	0	0
Capnocytophaga	0	37.2010376005315	0.339390487795187	0	0.000469056107970462	0.00436023882237939	0.166290068570199	0	0	0	0.00187199311106535	0	0	0.000386579505874076	0.00307319957007555	0.00365594788446291	0.00159393056742812	0.00127122530077342	1.18254519212722	0	0	0	0	0	0	0	0.133014099494546	0.151069540202176	0.360071146588001
Tannerella	0	8.18499828821272	0.0490046753109148	0.00264209169115005	0.00380456620909375	0.0867025499863714	0.177376073141545	0.00362752566474408	0.0062758880381574	0	0	0	0	0.0015463180234963	0.0858608827253565	0.0989039362782345	0.0572858645933668	0.0231695944700489	0.00417693036175413	0	0	0.00269665345306475	0.00464943276920216	0	0	0.00120078291045762	0.0332535248736366	0.0120534207608119	0.0260292395123856
Parabacteroides	0	0.0526754024813423	0.00198667602611817	0.481124896958424	0.452274322774185	0.813675352597218	0.00260847166384626	0.0217651539884645	0.0125517760763148	0.937769235867188	1.36093899174451	1.18229309870773	0.3506735960442	0.508738629730283	0.715758963026983	1.47176509691162	0.62792894703831	0.330806117257216	0.000628192692928721	0.0123639960435213	0.0089863407620417	0	0	0.0143393404927612	0.0112258643915582	0.00120078291045762	0	0.00361602622824358	0.0043382065853976
Porphyromonas	0	6.170783729606	0.0430446472325603	0.193401111792184	0.00703584161955693	0.00426892492034003	0.0590166713945216	0.11608082127181	0.0062758880381574	0.00497050831731725	0	0.00458253139034002	0	0.00502553357636298	0.00355844160745591	0.00543119180912999	0.00267780335327925	0.00441902128364093	0.00999597846467281	0.00247279920870425	0.0179726815240834	0.0188765741714532	0.00929886553840431	0.0517240496346029	0.457453973955995	0.951020065082434	0.0133014099494546	0.00200890346013532	0.0130146197561928
Prevotella	0	0.623025248766303	3.10219461478352	0.570427596119296	0.0134983924404833	0.0549709690276941	3.91205537785342	1.03021728878732	0.0502071043052592	21.3947246338392	35.605308972463	20.08065255247	29.8551894646551	0.0247410883759408	0.0406255416851216	0.04984744327085	0.0326596373266023	0.0187203059173419	1.31166634283517	0.0445103857566766	0.0778816199376947	0.0943828708572661	0.0464943276920216	0.0686239866439286	0.651100134710373	3.20488958801138	6.34477254588986	28.2166562203687	4.80239469003514
Alloprevotella	0	0.00782311761995863	0.00331112671019695	0.0158525501469003	0.00656678551158647	0.00150667938364942	0.00847753290750033	0.047157833641673	0.0188276641144722	0.0132546888461793	0.0187199311106535	0.0137475941710201	0.0555022957767799	0.0146900212232149	0.00114571036603694	0.0025310408430897	0.00132296237096534	0.000272405421594304	8.81673954987679e-05	0.029673590504451	0.0239635753654445	0.0404498017959712	0	0.0066575509430677	0.00841939829366861	0.0132086120150338	0.339185953711093	3.45772463558491	0
