Genus	Basepaws_WGS1.DOWNSAMPLE_1M	Basepaws_WGS2.DOWNSAMPLE_1M	Bristle1.DOWNSAMPLE_1M	Kean5.DOWNSAMPLE_1M	Kean6a.DOWNSAMPLE_1M	Kean6b.DOWNSAMPLE_1M	Nebula_lcWGS.DOWNSAMPLE_1M	Ombre5.DOWNSAMPLE_1M	Ombre6.DOWNSAMPLE_1M	PetQCheck1.DOWNSAMPLE_1M	PetQCheck2.DOWNSAMPLE_1M	PetQCheck3.DOWNSAMPLE_1M	PetQCheck4.DOWNSAMPLE_1M	Psomagen1a.DOWNSAMPLE_1M	Psomagen1b.DOWNSAMPLE_1M	Psomagen2.DOWNSAMPLE_1M	Psomagen3.DOWNSAMPLE_1M	Psomagen4.DOWNSAMPLE_1M	SequencingDotCom_WGS.DOWNSAMPLE_1M	thryve2.DOWNSAMPLE_1M	thryve3a.DOWNSAMPLE_1M	thryve3b.DOWNSAMPLE_1M	thryve4.DOWNSAMPLE_1M	uBiome_Fecal2013.DOWNSAMPLE_1M	uBiome_Fecal2014.DOWNSAMPLE_1M	uBiome_Fecal2019.DOWNSAMPLE_1M	uBiome_Oral2014.DOWNSAMPLE_1M	uBiome_Oral2019.DOWNSAMPLE_1M	Veritas_WGS-DOWNSAMPLE_1M
CandidatusNucleicultrix	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Hyphomonas	3	37	1	0	1	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Hirschia	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusViadribacter	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kordiimonas	5	9	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hyphobacterium	4	20	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Glycocaulis	1	12	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sneathiella	3	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luteithermobacter	2	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paremcibacter	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvularcula	2	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magnetococcus	2	8	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia	4390	1199	21	4	11	0	11	1	0	1	7	2	1	3	239	0	0	0	18	0	0	0	0	11	3	1	0	14	0
Cupriavidus	1215	1179	3	0	1	0	14	4	1	259	503	319	97	0	101	0	0	0	2	2	1	3	6	4	0	0	0	1	0
Ralstonia	328	629	0	5	13	0	5	0	0	6	5	2	3	6	41	0	0	0	1	1	1	0	16	0	0	1	0	0	0
Polynucleobacter	226	229	4	0	1	0	0	1	1	0	0	0	0	3	39	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Paraburkholderia	24	686	2	0	1	0	6	0	0	0	0	1	1	0	70	0	0	0	0	0	0	0	0	0	0	0	0	11	0
Pandoraea	12	365	2	0	0	0	1	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Caballeronia	8	171	1	0	0	0	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinimonas	2	95	0	0	3	0	0	1	0	0	0	0	0	0	6	0	0	0	0	2	2	0	1	1	0	0	0	0	0
CandidatusVallotia	1	13	0	0	0	0	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax	28	3779	2	0	0	0	1	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	2	5	0	0	0	0
Variovorax	19	2068	0	0	0	0	7	0	0	0	0	0	0	1	52	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Hydrogenophaga	19	1876	2	0	0	0	3	0	0	0	1	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodoferax	11	1399	3	0	0	0	3	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas	10	4162	3	9	23	0	1	0	0	0	1	0	0	9	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delftia	9	1010	0	1	0	0	3	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polaromonas	7	619	1	0	0	0	1	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kinneretia	6	131	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Limnohabitans	6	196	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ottowia	4	2664	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpentinimonas	2	540	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diaphorobacter	2	987	3	0	0	0	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Curvibacter	2	108	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alicycliphilus	2	388	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verminephrobacter	1	231	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Massilia	25	690	2	0	2	0	5	0	0	0	0	0	0	0	58	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Pseudoduganella	9	203	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Janthinobacterium	17	365	4	0	1	0	3	0	0	1	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collimonas	11	145	1	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Undibacterium	10	42	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Herbaspirillum	5	344	1	3	7	0	2	0	0	2	0	0	0	2	22	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Oxalobacter	2	11	0	21	483	0	0	1	9	0	0	0	0	0	4	0	0	0	0	0	0	0	20	0	3	0	0	0	0
Herminiimonas	2	18	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	18	892	5	2	7	0	6	0	0	0	0	0	0	3	44	0	0	0	0	0	0	1	0	0	0	0	0	3	0
Bordetella	11	823	1	2	6	0	3	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	11	0
Alcaligenes	10	233	1	0	0	0	1	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pelistega	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Basilea	4	5	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taylorella	3	12	0	0	0	0	0	0	0	0	6	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pigmentiphaga	3	85	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pusillimonas	3	108	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0
