Genus	Basepaws_WGS1.DOWNSAMPLE_1M	Basepaws_WGS2.DOWNSAMPLE_1M	Bristle1.DOWNSAMPLE_1M	Kean5.DOWNSAMPLE_1M	Kean6a.DOWNSAMPLE_1M	Kean6b.DOWNSAMPLE_1M	Nebula_lcWGS.DOWNSAMPLE_1M	Ombre5.DOWNSAMPLE_1M	Ombre6.DOWNSAMPLE_1M	PetQCheck1.DOWNSAMPLE_1M	PetQCheck2.DOWNSAMPLE_1M	PetQCheck3.DOWNSAMPLE_1M	PetQCheck4.DOWNSAMPLE_1M	Psomagen1a.DOWNSAMPLE_1M	Psomagen1b.DOWNSAMPLE_1M	Psomagen2.DOWNSAMPLE_1M	Psomagen3.DOWNSAMPLE_1M	Psomagen4.DOWNSAMPLE_1M	SequencingDotCom_WGS.DOWNSAMPLE_1M	thryve2.DOWNSAMPLE_1M	thryve3a.DOWNSAMPLE_1M	thryve3b.DOWNSAMPLE_1M	thryve4.DOWNSAMPLE_1M	uBiome_Fecal2013.DOWNSAMPLE_1M	uBiome_Fecal2014.DOWNSAMPLE_1M	uBiome_Fecal2019.DOWNSAMPLE_1M	uBiome_Oral2014.DOWNSAMPLE_1M	uBiome_Oral2019.DOWNSAMPLE_1M	Veritas_WGS-DOWNSAMPLE_1M
Swingsia	2	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gluconobacter	2	28	0	0	0	0	0	0	0	0	3	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neokomagataea	2	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novacetimonas	2	9	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kozakia	2	6	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Commensalibacter	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Entomobacter	2	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asaia	1	27	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gluconacetobacter	1	5	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseococcus	1	21	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oecophyllibacter	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Formicincola	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediminicoccus	1	20	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lichenicola	1	10	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azospirillum	23	284	1	0	0	0	5	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Skermanella	8	89	0	0	0	0	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Niveispirillum	4	15	0	28	62	0	0	5	1	2	5	7	2	17	2	0	0	0	0	0	0	15	1	4	1	21	0	0	0
Nitrospirillum	2	43	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indioceanicola	1	20	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hypericibacter	6	35	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Magnetospirillum	4	92	0	0	0	0	2	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusEndolissoclinum	4	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Rhodospirillum	2	61	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Tistrella	1	51	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	2	0	0	0	0	0
Defluviicoccus	1	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thalassospira	1	45	1	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magnetospira	1	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aestuariispira	2	18	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1633	514	0	0	1	0
Terasakiella	2	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stella	1	34	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nisaea	1	12	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zymomonas	152	18	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas	50	692	6	0	0	0	3	0	0	3	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	9	0	0	0
Sphingobium	24	282	4	0	0	0	8	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Sphingopyxis	14	175	3	0	0	0	3	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium	11	195	3	0	0	0	1	0	0	0	0	0	0	0	26	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Sphingorhabdus	5	29	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	6	8	0	0	0	0
Rhizorhabdus	4	46	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tardibacter	2	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomicrobium	2	26	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parasphingorhabdus	2	18	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blastomonas	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingosinithalassobacter	1	39	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allosphingosinicella	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Qipengyuania	10	86	2	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erythrobacter	7	132	1	0	0	0	3	0	0	0	0	1	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyrobacter	2	52	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
